x,y,labels,dist_from_origin,dist_from_TAC-1,name
-0.04163751,-0.006655035,TAC-1,0.08438239991664886,0.05935913696885109,RNA PCA
-0.10762015,0.0020942506,TAC-1,0.21611858904361725,0.1768084019422531,RNA PCA
0.03184842,-0.027072055,TAC-1,0.08364871889352798,0.11762195825576782,RNA PCA
-0.092457205,0.012741835,TAC-1,0.18720686435699463,0.1600486934185028,RNA PCA
-0.052168585,-0.08169522,TAC-1,0.19447307288646698,0.11187519878149033,RNA PCA
0.0024230315,-0.015290133,TAC-1,0.030965380370616913,0.06737690418958664,RNA PCA
0.019458054,0.03153976,TAC-1,0.07415163516998291,0.15748390555381775,RNA PCA
0.028742908,0.014930893,TAC-1,0.06480139493942261,0.14559701085090637,RNA PCA
-0.06436747,-0.07651691,TAC-1,0.20065069198608398,0.11694769561290741,RNA PCA
-0.007046738,-0.004297783,TAC-1,0.016507241874933243,0.06831324100494385,RNA PCA
-0.053733896,-0.034124997,TAC-1,0.12748019397258759,0.05441818758845329,RNA PCA
-0.04045288,0.01583871,TAC-1,0.08694157749414444,0.10014726966619492,RNA PCA
0.037514534,0.03708732,TAC-1,0.10560247302055359,0.18907874822616577,RNA PCA
-0.019892558,-0.012749557,TAC-1,0.04726262018084526,0.04128773510456085,RNA PCA
-0.09637942,-0.046387833,TAC-1,0.21474523842334747,0.14309577643871307,RNA PCA
-0.051051147,-0.10181209,TAC-1,0.22878149151802063,0.14842738211154938,RNA PCA
-0.010192236,-0.022697711,TAC-1,0.04977339506149292,0.0381079725921154,RNA PCA
-0.021164995,0.021880819,TAC-1,0.06090271845459938,0.10886574536561966,RNA PCA
0.029651029,-0.014116141,TAC-1,0.06570320576429367,0.11841512471437454,RNA PCA
-0.12786482,-0.01192175,TAC-1,0.2582649290561676,0.20796042680740356,RNA PCA
0.01448998,0.006380624,TAC-1,0.031669095158576965,0.11291477829217911,RNA PCA
-0.0053901267,-0.05283601,TAC-1,0.10631990432739258,0.059371158480644226,RNA PCA
0.017929535,-0.094246626,TAC-1,0.19246584177017212,0.15347030758857727,RNA PCA
-0.11604015,-0.04166916,TAC-1,0.24785077571868896,0.18103399872779846,RNA PCA
-0.038090583,-0.020920562,TAC-1,0.08697021007537842,0.03220253437757492,RNA PCA
0.03806953,0.03860494,TAC-1,0.1085430309176445,0.19207260012626648,RNA PCA
0.031104015,0.011052615,TAC-1,0.06604328006505966,0.14444921910762787,RNA PCA
-0.025287047,-0.026928151,TAC-1,0.0739140659570694,0.010972520336508751,RNA PCA
0.016802024,-0.0070616505,TAC-1,0.036456361413002014,0.10051852464675903,RNA PCA
0.025996868,0.0065018525,TAC-1,0.05360862612724304,0.13081082701683044,RNA PCA
-0.02624785,-0.01099622,TAC-1,0.056931015104055405,0.042522359639406204,RNA PCA
-0.067083806,-0.053645257,TAC-1,0.17221540212631226,0.09186998009681702,RNA PCA
0.025303232,-0.0074881404,TAC-1,0.052788909524679184,0.1151934266090393,RNA PCA
-0.1377337,0.034250736,TAC-1,0.28578639030456543,0.26101770997047424,RNA PCA
-0.062874265,-0.107312866,TAC-1,0.2500453293323517,0.16797395050525665,RNA PCA
0.011584168,0.037623346,TAC-1,0.07877329736948013,0.15937092900276184,RNA PCA
-0.13314244,0.033091627,TAC-1,0.2761276960372925,0.25176844000816345,RNA PCA
0.03754398,-0.03665933,TAC-1,0.10504347831010818,0.12892869114875793,RNA PCA
0.013684578,-0.009076976,TAC-1,0.03284354880452156,0.0931016355752945,RNA PCA
-0.002487095,-0.02902035,TAC-1,0.05826907977461815,0.048842910677194595,RNA PCA
0.015535278,0.0074621476,TAC-1,0.03447326272726059,0.11592036485671997,RNA PCA
-0.030967962,-0.026817394,TAC-1,0.08197789639234543,0.013844766654074192,RNA PCA
0.03373046,0.009168869,TAC-1,0.06993767619132996,0.14653129875659943,RNA PCA
0.022463644,0.011360443,TAC-1,0.050355758517980576,0.13141979277133942,RNA PCA
0.005385742,0.010593478,TAC-1,0.023771055042743683,0.10702633112668991,RNA PCA
-0.027639318,-0.031836078,TAC-1,0.08436968922615051,0.002071617403998971,RNA PCA
0.031200454,-0.006323271,TAC-1,0.06369119882583618,0.12689140439033508,RNA PCA
-0.035656594,-0.019643553,TAC-1,0.08146311342716217,0.030980750918388367,RNA PCA
-0.00038254051,0.018771505,TAC-1,0.03755391016602516,0.11480452120304108,RNA PCA
-0.025897553,-0.10061718,TAC-1,0.20854586362838745,0.13754528760910034,RNA PCA
-0.043848716,-0.076663695,TAC-1,0.17709733545780182,0.09570632874965668,RNA PCA
0.028258918,0.015955858,TAC-1,0.06492786854505539,0.14620444178581238,RNA PCA
-0.029896103,-0.0336241,TAC-1,0.09004650264978409,0.007041992619633675,RNA PCA
0.041085884,-0.015758667,TAC-1,0.0880652442574501,0.1395956426858902,RNA PCA
0.041405577,0.019061642,TAC-1,0.09122839570045471,0.170582577586174,RNA PCA
-0.012293813,-0.050210785,TAC-1,0.10347985476255417,0.046143580228090286,RNA PCA
-0.005739052,-0.0710124,TAC-1,0.1427299678325653,0.08841602504253387,RNA PCA
0.020341424,-0.015413588,TAC-1,0.051054008305072784,0.09992831200361252,RNA PCA
-0.00522197,-0.060856737,TAC-1,0.12231320142745972,0.07172414660453796,RNA PCA
0.026502041,-0.014732347,TAC-1,0.060661084949970245,0.11203773319721222,RNA PCA
-0.093122356,-0.048239548,TAC-1,0.210524782538414,0.13748492300510406,RNA PCA
0.041773356,-0.0115191825,TAC-1,0.08671960234642029,0.1431466042995453,RNA PCA
-0.1006938,0.01967325,TAC-1,0.20591957867145538,0.18168452382087708,RNA PCA
-0.07861329,-0.07306349,TAC-1,0.2154766470193863,0.132937952876091,RNA PCA
-0.019338774,-0.013081179,TAC-1,0.04670257493853569,0.041044749319553375,RNA PCA
-0.07282926,-0.034649864,TAC-1,0.1616549789905548,0.09280192852020264,RNA PCA
0.0773056,0.003056506,TAC-1,0.15504217147827148,0.2200019806623459,RNA PCA
-0.008710907,-0.051771328,TAC-1,0.10509423911571503,0.05319421738386154,RNA PCA
-0.02729618,-0.018131282,TAC-1,0.06556186825037003,0.028259707614779472,RNA PCA
-0.011087302,-0.00053051795,TAC-1,0.022200163453817368,0.07068803906440735,RNA PCA
-0.029821945,-0.026322836,TAC-1,0.0795970931649208,0.013407310470938683,RNA PCA
-0.09298993,-0.04913824,TAC-1,0.21112976968288422,0.13766548037528992,RNA PCA
0.024578888,-0.014989622,TAC-1,0.05759464576840401,0.10822117328643799,RNA PCA
0.011151675,-0.008658297,TAC-1,0.02823861502110958,0.08918046206235886,RNA PCA
0.054354668,-0.024692575,TAC-1,0.11954260617494583,0.1629961133003235,RNA PCA
-0.006102207,8.107989e-05,TAC-1,0.0122067304328084,0.07664579153060913,RNA PCA
-0.06410952,-0.0040161596,TAC-1,0.12864719331264496,0.09400226920843124,RNA PCA
-0.028525837,0.00939884,TAC-1,0.060086943209171295,0.08342074602842331,RNA PCA
0.040669654,0.021615159,TAC-1,0.09217909723520279,0.1725524216890335,RNA PCA
-0.035672516,0.017808933,TAC-1,0.07978400588035583,0.1018059030175209,RNA PCA
0.030780563,0.011513892,TAC-1,0.06575019657611847,0.1444879025220871,RNA PCA
-0.029600052,-0.078298815,TAC-1,0.16780664026737213,0.0927029475569725,RNA PCA
0.0049155983,0.031159606,TAC-1,0.06310983747243881,0.1417144238948822,RNA PCA
-0.08603344,-0.032492798,TAC-1,0.1844506859779358,0.1192726269364357,RNA PCA
-0.051805224,-0.047204558,TAC-1,0.14040212333202362,0.05871140584349632,RNA PCA
0.043462552,0.00044529408,TAC-1,0.08698386698961258,0.15486125648021698,RNA PCA
0.032739326,-0.065890625,TAC-1,0.14741873741149902,0.13694700598716736,RNA PCA
0.0033908766,0.021612886,TAC-1,0.04376276582479477,0.12338341027498245,RNA PCA
-0.043522414,-0.078547396,TAC-1,0.18008391559123993,0.09903008490800858,RNA PCA
-0.021499777,-0.098062664,TAC-1,0.2014622539281845,0.1327662467956543,RNA PCA
-0.10525316,0.009138485,TAC-1,0.21208986639976501,0.1785351037979126,RNA PCA
0.031336065,-0.02143886,TAC-1,0.07597347348928452,0.11811549216508865,RNA PCA
0.01858297,-0.015018004,TAC-1,0.04779473692178726,0.09689908474683762,RNA PCA
-0.05778487,-0.095635936,TAC-1,0.2244124710559845,0.1421610563993454,RNA PCA
-0.03565361,-0.035854734,TAC-1,0.10121461749076843,0.019419897347688675,RNA PCA
-0.113835044,-0.0640733,TAC-1,0.26275837421417236,0.18710167706012726,RNA PCA
-0.02609571,0.039737135,TAC-1,0.09515131264925003,0.14409680664539337,RNA PCA
0.032025967,-0.034257032,TAC-1,0.0938604325056076,0.11762100458145142,RNA PCA
